episode,avg_reward,vo_ripple,vo_error,recovery_time,overshoot,undershoot,critic_loss,actor_loss,alpha
1,-1.3802410738422286,0,8.501697578412932,0,0,0,0,0,0
2,-1.1257442617380948,0,3.590814956319532,0,0,0,0,0,0
3,-0.9151777071243012,0,3.1518147944002806,0,0,0,0,0,0
4,-0.9370223865676837,0,4.093144187716019,0,0,0,0,0,0
5,-0.9235810755330978,0,5.304033426944644,0,0,0,0,0,0
6,-0.9246604808101182,0,4.457385625762109,0,0,0,0,0,0
7,-0.9688355724883546,0,7.203603582784202,0,0,0,0,0,0
8,-0.9828179623903236,0,6.2527600292852235,0,0,0,0,0,0
9,-0.9647501320771086,0,4.3618308860802735,0,0,0,0,0,0
10,-0.9249155480425282,0,4.941117960157447,0,0,0,0,0,0
11,-0.9346109057919159,0,4.490392444976333,0,0,0,0,0,0
12,-0.915877877354376,0,2.8705565519665557,0,0,0,0,0,0
13,-0.9069084239374654,0,3.4089351242605677,0,0,0,0.0878366157412529,0.1790265291929245,0.19873947974698594
14,-0.9063186051399947,0,4.103712439872757,0,0,0,0.020510269328951836,0.14949055016040802,0.19635895097668699
15,-0.8967715495411931,0,3.8137945696265003,0,0,0,0.010584348812699318,0.3373243510723114,0.19400787898395883
16,-0.8944407828972902,0,3.4486436438023933,0,0,0,0.006641237996518612,0.47418081760406494,0.19168726644112513
17,-0.8878580452850647,0,5.081356895271304,0,0,0,0.007552055642008781,0.6265944242477417,0.1893938745205384
18,-0.8801427908695917,0,3.7626500799578384,0,0,0,0.01146609615534544,0.7213201522827148,0.18713311903499646
19,-0.8742139114507151,0,4.846339033675902,0,0,0,0.012164976447820663,0.7620053291320801,0.18490008112095632
20,-0.8606234317450033,0,1.433053781165949,0,0,0,0.010077451355755329,0.8996409177780151,0.18269068884763845
21,-0.8289461625713983,0,4.146988098241106,0,0,0,0.031042642891407013,1.0831263065338135,0.18051291062212552
22,-0.8183676502223131,0,3.5827866839952875,0,0,0,0.026351384818553925,1.0252439975738525,0.17836250986646257
23,-0.8312347686085246,0,3.4995919539271405,0,0,0,0.05927395075559616,1.2593724727630615,0.17623812124908853
24,-0.8105608739326143,0,2.3801660985618307,0,0,0,0.009789214469492435,1.5368865728378296,0.17414057180861833
25,-0.7961113825342527,0,0.15340496045534646,0,0,0,0.016167698428034782,1.5318491458892822,0.17207095571371345
26,-0.7821248227007334,0,2.630247184261912,0,0,0,0.06389901041984558,1.5393801927566528,0.17002681723479815
27,-0.7436740830485266,0,1.6477739752616305,0,0,0,0.1141364648938179,1.5851757526397705,0.16800736271574657
28,-0.7187386255471623,0,1.7380614885820904,0,0,0,0.12822306156158447,1.5996730327606201,0.16601308410888604
29,-0.7255523407391581,0,3.769679689131859,0,0,0,0.1260121911764145,1.7518954277038574,0.16404713578043656
30,-0.7397326156656796,0,3.9545444341423703,0,0,0,0.12728212773799896,1.8864843845367432,0.16210927357066734
31,-0.733969377884699,0,5.118931776089429,0,0,0,0.04419809579849243,2.1146509647369385,0.1601980375423416
32,-0.7303654515514861,0,1.4268372510009586,0,0,0,0.2333211749792099,2.3491768836975098,0.15831441035431285
33,-0.7107577127895401,0,0.07969226282223474,0,0,0,0.021490804851055145,2.3156261444091797,0.15645583770297955
34,-0.6966019254921078,0,0.9417436565416466,0,0,0,0.07067181169986725,2.470616340637207,0.15463242462115534
35,-0.6844398101558694,0,1.0717364395840097,0,0,0,0.1703633964061737,2.3643150329589844,0.1528378059696367
36,-0.6700869734008623,0,1.7142654023451103,0,0,0,0.16273009777069092,2.508634090423584,0.1510726535751781
37,-0.6667035586892587,0,2.5528242545077964,0,0,0,0.23436880111694336,2.8271684646606445,0.14933727872628158
38,-0.6650696181896445,0,3.3242022442391814,0,0,0,0.06391345709562302,2.78756046295166,0.14763352256316808
39,-0.6545020114744384,0,2.2019723876648483,0,0,0,0.04220025613903999,2.876433849334717,0.1459596385559149
40,-0.6446789413019298,0,0.8272634853264833,0,0,0,0.3247666358947754,2.915773391723633,0.1443187056449692
41,-0.6256486270223591,0,0.22639049193481586,0,0,0,0.19670894742012024,2.574899435043335,0.14270409827837854
42,-0.6097502687288436,0,0.7135803762976947,0,0,0,0.2529262602329254,3.0239057540893555,0.1411127124005701
43,-0.5947353706642755,0,1.474619620802021,0,0,0,0.20534272491931915,2.9536731243133545,0.1395587988177611
44,-0.5846065846567444,0,0.5361272351079087,0,0,0,0.18508833646774292,3.0567784309387207,0.1380370435093118
45,-0.5841601337529589,0,1.5894963188315607,0,0,0,0.04479079693555832,2.790003776550293,0.1365505282959307
46,-0.5675083626562829,0,0.6146566920172996,0,0,0,0.3558369278907776,3.474543571472168,0.13509540661650984
47,-0.5693263061609032,0,1.0409719596332963,0,0,0,0.4407637119293213,3.2983243465423584,0.13367824294024178
48,-0.561924296694108,0,1.1996073500562545,0,0,0,0.5827023983001709,3.3802151679992676,0.1322883630127742
49,-0.5320004144106776,0,0.5706599487419393,0,0,0,0.22643831372261047,3.2558321952819824,0.13092209766494148
50,-0.5101132421523202,0,0.7930524534846262,0,0,0,0.10141059756278992,3.3207509517669678,0.1295867586015768
51,-0.4795701209112706,0,0.17445496836356078,0,0,0,0.43723028898239136,3.6172709465026855,0.12762935472726203
52,-0.4602284620141198,0,0.24299571495082262,0,0,0,0.22231268882751465,3.616440773010254,0.12573940970074546
53,-0.458103745475315,0,1.1323286753585915,0,0,0,0.4919511377811432,2.9328644275665283,0.1239056636131397
54,-0.44271314272995166,0,0.12032760385803254,0,0,0,0.5211645364761353,3.327752113342285,0.12210002239800404
55,-0.43822606227182953,0,1.2491161916042994,0,0,0,0.1099100187420845,3.7360682487487793,0.12034053669719386
56,-0.4253267978750882,0,0.34484405720571587,0,0,0,0.12680651247501373,3.3656721115112305,0.11864653432446161
57,-0.405004302945344,0,0.2096213251983663,0,0,0,0.2143191546201706,3.8132402896881104,0.11698512694745825
58,-0.3865948140009746,0,0.2938883607722884,0,0,0,0.23777687549591064,3.9309475421905518,0.11536889286612834
59,-0.3768080937421925,0,0.9589109013253028,0,0,0,0.1760609745979309,3.477555990219116,0.11379795281210305
60,-0.36840635654355935,0,0.13897247545461333,0,0,0,0.5462934374809265,3.5372445583343506,0.11225789907702495
61,-0.36101693433433396,0,0.20022838149278321,0,0,0,0.8741607666015625,3.740807056427002,0.11074594988891844
62,-0.35524137987805054,0,0.2650479868420472,0,0,0,0.10853765159845352,3.7222485542297363,0.10926951547120552
63,-0.3446527016273255,0,0.05146332940619658,0,0,0,0.25978392362594604,4.022397041320801,0.1078112131846034
64,-0.33657783558859516,0,0.47574869878282566,0,0,0,0.1831384301185608,4.171013832092285,0.1063880535749014
65,-0.32111380827156494,0,0.04996435568026225,0,0,0,0.14118000864982605,3.5638914108276367,0.10498344063216211
66,-0.3162253758531186,0,0.12889466528635118,0,0,0,0.06646451354026794,4.0377373695373535,0.10359388289200389
67,-0.3014829195186791,0,0.2468635594773012,0,0,0,0.2564743161201477,3.8524703979492188,0.1022547949338818
68,-0.2899338214319371,0,0.17132564010065376,0,0,0,0.41792309284210205,3.5996475219726562,0.10093469973496902
69,-0.2888602467685301,0,1.456334814912379,0,0,0,0.5556775331497192,3.8489701747894287,0.09961685492339122
70,-0.2786364044365431,0,0.2880368831355069,0,0,0,0.26025933027267456,3.881356954574585,0.09830858096470124
71,-0.2734790719482639,0,0.07198104814242168,0,0,0,0.41503459215164185,3.9706363677978516,0.09701744352224292
72,-0.27249957538966935,0,0.9636799745073485,0,0,0,0.5825806260108948,3.692375421524048,0.09576828826152549
73,-0.2637005353621221,0,0.35150749113768054,0,0,0,0.5770691633224487,3.9482626914978027,0.09451818506522788
74,-0.26074799823177475,0,0.11235889584410241,0,0,0,1.7623260021209717,3.7837295532226562,0.09329070092757692
75,-0.24967232457274519,0,0.0057554379618478535,0,0,0,0.150432288646698,3.750821352005005,0.09208146567871606
76,-0.24482453863802642,0,0.40843564858813775,0,0,0,0.2847791910171509,3.771745443344116,0.09089269746208192
77,-0.24089300712802095,0,0.6743908561601923,0,0,0,0.1965920627117157,3.402219295501709,0.08971947712466391
78,-0.23423043813074879,0,0.1500694060018004,0,0,0,0.22512845695018768,3.6589601039886475,0.0885802177156084
79,-0.2264300333541132,0,0.16075546930158158,0,0,0,0.5733816623687744,3.7748496532440186,0.0874506603533038
80,-0.22840983294907832,0,0.9207400744040024,0,0,0,0.2716325521469116,3.4086310863494873,0.08633389609622924
81,-0.22606175383520713,0,0.346003396447613,0,0,0,0.15515592694282532,3.7900938987731934,0.08523407543084933
82,-0.22726548060054336,0,0.5009305351336906,0,0,0,0.19523999094963074,4.20182991027832,0.08416570960090412
83,-0.22480351173171959,0,0.07391371301615379,0,0,0,0.1341109573841095,3.5092556476593018,0.08311012617905318
84,-0.22233761004369157,0,0.5385374852771259,0,0,0,0.9661831855773926,3.537102699279785,0.08206082579547563
85,-0.21918443796290998,0,0.16126110089871837,0,0,0,1.2741901874542236,3.535217523574829,0.08101545552481552
86,-0.21959686248306026,0,0.42954225873443086,0,0,0,0.34916213154792786,3.453643560409546,0.07998036394558666
87,-0.21868447289307946,0,0.11131540827361519,0,0,0,0.6453972458839417,3.500938653945923,0.07897412887410792
88,-0.21849257464912347,0,0.00688427011101389,0,0,0,0.12688997387886047,3.5271387100219727,0.07797472523476262
89,-0.21057296560024502,0,0.23318231819959845,0,0,0,0.18733879923820496,3.907851219177246,0.07699316160042824
90,-0.20909054316591416,0,0.1812647292528906,0,0,0,0.2092936635017395,3.7104997634887695,0.0759995711654665
91,-0.2095110423474693,0,0.10560826368738585,0,0,0,0.2063310444355011,3.884512424468994,0.07504181999019416
92,-0.20884859382185977,0,0.19349564190048163,0,0,0,0.15623101592063904,3.5969901084899902,0.07407659989577293
93,-0.21177659371205376,0,0.01773875477172915,0,0,0,0.16797377169132233,3.8181326389312744,0.07313666821253564
94,-0.20758558010471698,0,0.09545720685128956,0,0,0,0.4292549192905426,3.492615222930908,0.0721923578068579
95,-0.20658474357050874,0,0.005441985974347752,0,0,0,0.11448483169078827,3.6779277324676514,0.07124453905074639
96,-0.20583096136185514,0,0.09682978547118015,0,0,0,0.9032398462295532,4.0317158699035645,0.07030035390305871
97,-0.20610512837721234,0,0.14741728792137287,0,0,0,0.2886180877685547,3.7542381286621094,0.06938193415360551
98,-0.20617880699795568,0,0.3314740149494826,0,0,0,0.10824581980705261,3.394296884536743,0.06848438930967557
99,-0.20568446225663295,0,0.17486715220723692,0,0,0,0.19888822734355927,3.561896324157715,0.06757483584009409
100,-0.20195782114092573,0,0.1917641714331877,0,0,0,0.6365881562232971,3.2865898609161377,0.06667764181976621
